imdb_id,imdb_rating,imdb_votes,R
tt5325684,3.3,1203,4.785282203618688
tt6071752,4.0,289,5.344567945500179
tt4552546,7.1,288,5.665279770444763
tt7363076,7.4,13159,7.096660067692701
tt6588966,7.5,8129,7.029588860664221
tt7384848,5.7,1642,5.5792853693867706
tt6843812,5.0,7657,5.123067834990647
tt7700730,7.5,11125,7.13302752293578
tt7881558,6.2,774,5.665485644471595
tt3224288,6.9,1611,6.048625638530771
tt7412738,6.2,853,5.678079331941545
tt4979110,5.1,205,5.469685767097967
tt6978268,7.0,660,5.813291139240506
tt7098658,7.8,20289,7.547685286761157
tt8324474,6.4,289,5.593259232699893
tt8175968,5.2,252,5.472529069767441
tt7260848,5.6,182,5.506785980611483
tt6826438,7.7,18292,7.435475182762602
tt8223250,7.7,718,5.990863890615289
tt6129302,7.6,4928,6.893214862681744
tt8338746,3.7,207,5.362356852604359
tt7431594,2.0,30038,2.268916343967054
tt7638344,4.5,8363,4.730139003958391
tt6452574,7.8,42718,7.6728382502543235
tt7695014,4.3,631,5.258160332162248
tt8060624,4.7,748,5.3157635467980295
tt7618184,6.7,12123,6.494843739314778
tt6514010,7.0,2533,6.254917544208226
tt7919680,7.5,9436,7.081099195710456
tt6173990,7.3,10081,6.942317780780542
tt8202612,5.6,5446,5.568537628995721
tt7881542,4.5,974,5.219631548647093
tt7722258,4.6,803,5.281198910081744
tt7609114,4.8,887,5.31668142899321
tt8108202,7.7,22671,7.481494577092686
tt7162758,5.2,729,5.432270052647878
tt8011276,7.7,1633,6.369247519961286
tt2302416,7.1,314,5.678535891968728
tt8136908,7.2,271,5.666257668711657
tt8396128,7.2,2931,6.41745534892285
tt7720922,6.1,4169,5.875078722447143
tt3823392,7.4,1048,6.061217587373168
tt6923462,7.4,2947,6.527960345144116
tt2802062,4.2,139,5.431527093596059
tt5474036,6.9,5754,6.4759631693724256
tt8852558,6.9,1820,6.089814814814815
tt7147540,6.8,5850,6.410778443113772
tt6514196,6.6,3859,6.1675420663626355
tt8426854,6.3,1598,5.811957052220595
tt7526836,5.4,658,5.479164027865738
tt8239946,8.2,16535,7.845390070921985
tt8427036,5.5,796,5.5
tt7607940,1.7,2237,3.7054887059320243
tt8108198,8.4,51615,8.266026055622287
tt7725596,8.0,21851,7.743337029280111
tt1971310,3.2,316,5.241903409090909
tt7274806,5.6,201,5.507441688263606
tt2759338,3.8,253,5.343770432255721
tt9070934,6.3,50,5.515686274509803
tt6144958,5.1,55,5.491389432485323
tt4949324,6.9,1369,5.995373481519772
tt8458202,6.7,1582,5.965066144047036
tt2150177,4.1,465,5.28043844856661
